Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
285,Jamison Battle,23,TOR,SF,31,0,13.5,2.1,4.5,0.471,1.4,3.3,0.431,0.7,1.2,0.583,0.63,0.4,0.5,0.857,0.6,1.3,1.9,1,0.1,0.1,0.4,1.2,6,
286,Quenton Jackson,26,IND,PG,17,7,14.8,2.3,4.5,0.513,0.5,1.4,0.375,1.8,3.1,0.577,0.572,0.9,1.2,0.714,0.6,1,1.6,1.8,0.5,0.3,0.6,1.9,6,
287,Max Strus,28,CLE,SF,6,0,22.3,2.2,6.2,0.351,1.5,5.2,0.29,0.7,1,0.667,0.473,0.2,0.2,1,1.2,2.8,4,2.8,0.3,0.3,0.7,2.5,6,
288,James Wiseman,23,IND,C,1,0,5,2,4,0.5,0,1,0,2,3,0.667,0.5,2,2,1,0,1,1,0,0,0,0,0,6,
289,Kyle Filipowski,21,UTA,C,22,8,16.5,2.2,4.4,0.495,0.5,1.6,0.333,1.6,2.8,0.59,0.557,1,1.7,0.568,1,3.3,4.3,1.8,0.5,0.1,1,1.9,5.9,
290,Javonte Green,31,NOP,SG,32,12,20.9,2.1,4.6,0.463,0.7,1.9,0.361,1.4,2.7,0.535,0.537,1,1.3,0.744,0.9,2.2,3.1,0.7,1,0.6,0.7,1.4,5.9,
291,Jaxson Hayes,24,LAL,C,13,2,16.9,2.2,3.2,0.69,0,0,,2.2,3.2,0.69,0.69,1.5,1.9,0.76,1.8,2.6,4.4,0.7,0.4,0.8,0.7,2.4,5.9,
292,Kevin Love,36,MIA,PF,16,5,11.4,2,5.7,0.352,1.1,3.1,0.36,0.9,2.6,0.341,0.451,0.8,1.2,0.684,1.1,3.4,4.5,1.2,0.8,0.1,0.8,0.9,5.9,
293,Jordan Miller,25,LAC,SF,21,0,14.7,2.3,5.3,0.432,0.4,1.7,0.229,1.9,3.6,0.526,0.468,1,1.2,0.769,1,1.2,2.1,1.3,0.5,0.1,0.9,1,5.9,
294,Ben Simmons,28,BRK,PG,26,20,25.1,2.7,4.9,0.543,0,0,,2.7,4.9,0.543,0.543,0.6,0.8,0.714,0.9,4.3,5.2,6.9,0.8,0.5,2.8,2.3,5.9,
295,Isaiah Stewart,23,DET,C,30,3,21.2,2.3,4.2,0.543,0.3,0.9,0.296,2,3.3,0.61,0.575,1,1.2,0.886,2.1,3.9,6,1.8,0.5,1.2,1,2.7,5.9,
296,Malaki Branham,21,SAS,SG,22,0,11.9,2.1,4.8,0.438,0.8,2.1,0.383,1.3,2.6,0.483,0.524,0.8,0.9,0.85,0.1,1.3,1.4,1.2,0.3,0.1,1.2,0.7,5.8,
297,Ricky Council IV,23,PHI,SF,25,0,13,1.8,4.2,0.419,0.4,1.6,0.268,1.3,2.6,0.516,0.471,1.7,2,0.843,0.6,1.5,2.1,0.7,0.3,0.2,0.4,0.8,5.7,
298,Jonathan Isaac,27,ORL,PF,30,0,16.5,2.1,5.1,0.403,0.7,2.6,0.253,1.4,2.5,0.56,0.468,0.9,1.4,0.683,1.7,2.9,4.6,0.4,0.8,1.3,0.6,1.5,5.7,
299,Marcus Sasser,24,DET,PG,23,0,13.5,2.3,4.5,0.51,0.9,2.3,0.385,1.4,2.3,0.635,0.606,0.3,0.3,1,0.3,0.7,1,1.9,0.8,0.1,0.9,1.2,5.7,
300,Zach Collins,27,SAS,C,27,4,14,2,4.3,0.466,0.4,1.5,0.3,1.6,2.8,0.553,0.517,1.1,1.3,0.886,1.3,2,3.3,1.7,0.5,0.5,0.8,2.3,5.6,
301,Alex Caruso,30,OKC,SG,20,0,19.9,2.2,5.7,0.377,0.9,3.3,0.262,1.3,2.5,0.531,0.452,0.4,0.5,0.778,0.6,2.3,2.9,2.5,1.9,0.6,0.8,2,5.5,
302,Donovan Clingan,20,POR,C,26,7,16,2.3,4.3,0.527,0.2,0.6,0.313,2.1,3.7,0.563,0.549,0.8,1.1,0.75,2.7,3.3,6,0.6,0.5,1.6,1.2,2.7,5.5,
303,Monte Morris,29,PHO,PG,27,0,13.6,1.9,4.6,0.419,0.6,2,0.291,1.3,2.6,0.522,0.484,1,1.3,0.824,0.3,1.3,1.6,1.8,0.5,0.1,0.5,0.6,5.5,
304,Neemias Queta,25,BOS,C,29,5,16.1,2.3,3.6,0.654,0,0.1,0,2.3,3.5,0.667,0.654,0.8,1.1,0.719,1.7,2.7,4.4,0.7,0.3,0.9,0.7,2,5.5,
